Domain,Location on Site,Primary Domain,Spend,Revenue,Followers,Employees,Company Name,Vertical,BuiltWith Rank,Tranco Rank,Majestic Rank,Page Rank,Telephones,Emails,Twitter,Facebook,Linkedin,Google,Pinterest,Github,Instagram,Vk,Vimeo,Youtube,Tiktok,Threads,X,Weibo,Tieba,Xiaohongshu,Douyin,Ticker,People,City,State,Postcode,Country,First Detected,Last Detected,First Indexed,Last Indexed,Exclusion,Compliance
paimentupa.fi,shop.paimentupa.fi,paimentupa.fi,"$1,736",$,"1,120","",Paimentupa,Travel,"","","","12,800,325",+358400802709,info@paimentupa.fi,"",facebook.com/paimentupa,"","","","",instagram.com/paimentupa,"","","","","","","","","","","","",Koli,12,83960,FI,2023-08-13,2025-09-28,2006-12-04,2026-03-15,"",GDPR FI
debeganphotography.com,debeganphotography.com,debeganphotography.com,$0,"$102,749","","","",Unknown,"","","","","","","","","","","","",instagram.com/debeganphotography,"","","","","","","","","","","","","","","",UN,2022-06-29,2026-02-20,2020-09-17,2026-02-20,"",""
egov-assist.com,egov-assist.com,egov-assist.com,$897,$,"","","",Technology And Computing,"","","","",+1-800-680-7289;+1-844-565-3473,support@egov-assist.com,"","","","","","","","","","","","","","","","","","","",Baltimore,MD,21202,US,2021-06-25,2026-02-20,2020-12-15,2026-02-20,"",""
katiegracie.com,katiegracie.com,katiegracie.com,$897,$,"","","",Technology And Computing,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",UN,2021-07-31,2026-02-20,2020-12-03,2026-02-20,"",""
samovesti.com,samovesti.com,samovesti.com,$897,$,"","","","","","","","20,922,528","","","","","","","","","","","","","","","","","","","","","","","","","",2023-11-04,2026-02-20,2023-09-14,2026-02-20,"",""
formulamillenium.org,formulamillenium.org,formulamillenium.org,$897,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-09-02,2026-02-20,2025-06-06,2026-06-05,"",""
sofia-restaurant-camberwell.com.au,sofia-restaurant-camberwell.com.au,sofia-restaurant-camberwell.com.au,$0,$,"","","",Unknown,"","","","","","","","","","","","","","","","","","","","","","","","","",Melbourne,VIC,3124,AU,2025-04-27,2025-11-18,2025-02-18,2026-02-20,"",""
bmwofcatonsville.com,bmwofcatonsville.com,bmwofcatonsville.com,"$13,594",$,"",25,Bmw Of Catonsville,Automotive And Vehicles,"","","","11,135,934",+1-410-744-2000;+1-844-239-3058;+1-855-415-9532;+1-844-239-3059;+1-844-324-1856;+1-443-341-0725;+1-855-624-0380,"","",facebook.com/bmwofcatonsville,"","","","","","","","","","","","","","","","","",Catonsville,MD,21228,US,2023-11-03,2026-03-21,2014-02-13,2026-03-21,"",""
sarahkvphotography.ca,sarahkvphotography.ca,sarahkvphotography.ca,"$4,397",$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-02-18,2026-03-15,2025-02-18,2026-03-15,"",""
miniofstevenscreek.com,miniofstevenscreek.com,miniofstevenscreek.com,"$15,217",$,"",23,Mini Of Stevens Creek,Automotive And Vehicles,"","","","5,356,725",+1-650-513-0482;+1-408-641-4608;+1-833-770-1149,"","",facebook.com/miniofstevenscreek,"","","","","","","","","","","","","","","","",PII - Sales; PII - President; PII - Manager; PII - C-Suite,Santa Clara,CA,95051,US,2023-10-30,2026-03-20,2009-09-26,2026-09-26,"",California CCPA
3dream.online,3dream.online,3dream.online,$0,$,"","","","","","","","74,821,978","","","","","","","","","","","","","","","","","","","","","","","","","",2026-01-06,2026-01-06,2024-05-14,2026-11-10,"",""
verahogenson.com,verahogenson.com,verahogenson.com,"$4,505","$102,749","1,989","",Vera Hogenson Photography Blog,Art And Entertainment,"","","","33,669,117",+1-850-691-6729,"",twitter.com/VeraHogenson,facebook.com/verahogensonphotographer,"","",pinterest.com/verahogenson,"",instagram.com/verahogensonphotography,"","","","","","","","","","","","",Destin,FL,32541,US,2019-07-15,2026-03-15,2012-01-07,2026-03-15,"",""
meuwebcnpj.site,meuwebcnpj.site,meuwebcnpj.site,$0,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-01-22,2025-12-04,2024-12-25,2026-02-20,"",""
not-just-teeshirts.com,not-just-teeshirts.com,not-just-teeshirts.com,$0,$,"","","","","","","","48,463,901","","","","","","","","","","","","","","","","","","","","","","","","","",2025-04-19,2025-11-18,2019-08-02,2026-02-20,"",""
insurancequotesfor-indiana.com,insurancequotesfor-indiana.com,insurancequotesfor-indiana.com,"$1,396",$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2026-02-20,2026-02-20,2025-10-13,2026-02-20,"",""
watermark.auto,watermark.auto,watermark.auto,"$13,879",$,107,"","",Automotive And Vehicles,"","","","2,909,141",+1-618-294-8787;+1-270-821-4100;+1-618-969-8325;+1-618-969-8320;+1-877-298-4595;+1-866-941-0620;+1-800-549-3637;+1-877-862-2173;+1-618-993-2161,"",twitter.com/watermarkautogr,facebook.com/watermarkautogroup,"","","","","","","","","","","","","","","","",Jerrod Grant - President; Andrew Hancock - Manager; Sarah Hogan - Manager; Carri Carey - Manager; Crystal Oxendine - Manager; Mike Absher - C-Suite; David Griffin - C-Suite; Pablo Gonzalez - C-Suite,Marion,IL,62959,US,2023-10-31,2026-03-19,2016-05-09,2026-03-19,"",""
the-lavender-goat.com.au,the-lavender-goat.com.au,the-lavender-goat.com.au,$0,$,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-04-30,2025-11-18,2025-02-18,2026-02-20,"",""
